Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA,75784,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20160401,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,FRESENIUS KABI USA LLC,2000/10/18-; 2001/09/05-,63323-161; 63323-162,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ccf905ca-e164-4779-9485-2d139c821bad/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ccf905ca-e164-4779-9485-2d139c821bad,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ccf905ca-e164-4779-9485-2d139c821bad,ccf905ca-e164-4779-9485-2d139c821bad
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20160119,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,CENTRAL TEXAS COMMUNITY HEALTH CENTERS,1998/06/17-,76413-109,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/434b9c9c-8831-4e15-8802-a29c8ee269af/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=434b9c9c-8831-4e15-8802-a29c8ee269af,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=434b9c9c-8831-4e15-8802-a29c8ee269af,434b9c9c-8831-4e15-8802-a29c8ee269af
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20150731,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,TEVA PHARMACEUTICALS USA INC,1998/06/17-,0093-0314,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/688f5dec-a6db-43c6-a1f8-5df99d08d395/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=688f5dec-a6db-43c6-a1f8-5df99d08d395,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=688f5dec-a6db-43c6-a1f8-5df99d08d395,688f5dec-a6db-43c6-a1f8-5df99d08d395
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20150605,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2011/07/15-,10544-222,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1191f151-ab29-1f7e-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1191f151-ab29-1f7e-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1191f151-ab29-1f7e-e054-00144ff88e88,1191f151-ab29-1f7e-e054-00144ff88e88
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20140721,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,NORTHWIND PHARMACEUTICALS LLC,2014/07/15-,51655-170,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d17ed469-677b-4a2e-96a9-5cfd0f50ecd9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d17ed469-677b-4a2e-96a9-5cfd0f50ecd9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d17ed469-677b-4a2e-96a9-5cfd0f50ecd9,d17ed469-677b-4a2e-96a9-5cfd0f50ecd9
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74761,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20140515,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,READYMEDS,2013/05/16-,64205-113,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2f4057b1-4707-4975-949e-3d62133d96f9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2f4057b1-4707-4975-949e-3d62133d96f9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2f4057b1-4707-4975-949e-3d62133d96f9,2f4057b1-4707-4975-949e-3d62133d96f9
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20140414,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,CARILION MATERIALS MANAGEMENT,1998/06/17-,68151-0098,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/19300bc5-39ba-47b7-bfda-036b0a2649ae/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=19300bc5-39ba-47b7-bfda-036b0a2649ae,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=19300bc5-39ba-47b7-bfda-036b0a2649ae,19300bc5-39ba-47b7-bfda-036b0a2649ae
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20140117,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,APOTHECA INC,2005/10/25-,12634-809,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e20df5b6-84da-4715-b36e-bb7e4be55416/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e20df5b6-84da-4715-b36e-bb7e4be55416,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e20df5b6-84da-4715-b36e-bb7e4be55416,e20df5b6-84da-4715-b36e-bb7e4be55416
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20140105,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,AIDAREX PHARMACEUTICALS LLC,1998/06/17-,33261-065,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/11b38f8d-26e0-4614-97ba-722505b0ffb0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=11b38f8d-26e0-4614-97ba-722505b0ffb0,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=11b38f8d-26e0-4614-97ba-722505b0ffb0,11b38f8d-26e0-4614-97ba-722505b0ffb0
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,OPHTHALMIC,ANDA,90017,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20130218,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,PHYSICIANS TOTAL CARE INC,2010/11/03-,54868-6195,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e2f53384-6c90-4a9f-aacf-281233581742/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e2f53384-6c90-4a9f-aacf-281233581742,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e2f53384-6c90-4a9f-aacf-281233581742,e2f53384-6c90-4a9f-aacf-281233581742
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA,77942,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,20111229,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,PHYSICIANS TOTAL CARE INC,2000/11/03-,54868-4419,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/63b51e87-a223-4d62-b94e-60adf4872376/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=63b51e87-a223-4d62-b94e-60adf4872376,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=63b51e87-a223-4d62-b94e-60adf4872376,63b51e87-a223-4d62-b94e-60adf4872376
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,OPHTHALMIC,ANDA,78434,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,20111130,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,STAT RX USA LLC,2009/11/05-,16590-376,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b5f5bdb5-2a0e-437e-a6da-aa262cdc9b89/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b5f5bdb5-2a0e-437e-a6da-aa262cdc9b89,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b5f5bdb5-2a0e-437e-a6da-aa262cdc9b89,b5f5bdb5-2a0e-437e-a6da-aa262cdc9b89
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA,77942,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,20111018,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,WOCKHARDT LIMITED,2007/03/27-,55648-757; 55648-758,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cff1fed3-1f30-4da9-93b4-8eebd0fd88b3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cff1fed3-1f30-4da9-93b4-8eebd0fd88b3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cff1fed3-1f30-4da9-93b4-8eebd0fd88b3,cff1fed3-1f30-4da9-93b4-8eebd0fd88b3
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,OPHTHALMIC,ANDA,77308,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20110921,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,REBEL DISTRIBUTORS CORP,2009/11/05-,21695-985,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f9b4404c-67bc-4c8a-aa75-1d668a6eed16/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f9b4404c-67bc-4c8a-aa75-1d668a6eed16,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f9b4404c-67bc-4c8a-aa75-1d668a6eed16,f9b4404c-67bc-4c8a-aa75-1d668a6eed16
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74761,KETOROLAC,KETOROLAC TROMETHAMINE,20110816,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,STAT RX USA LLC,2010/09/15-,16590-138,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dce94664-7e3d-4592-86ac-2a94231e484b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dce94664-7e3d-4592-86ac-2a94231e484b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dce94664-7e3d-4592-86ac-2a94231e484b,dce94664-7e3d-4592-86ac-2a94231e484b
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74761,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20110317,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,PHYSICIANS TOTAL CARE INC,2001/01/10-,54868-4171,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e61ae711-e6d2-44e4-b7d7-943a9d06f985/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e61ae711-e6d2-44e4-b7d7-943a9d06f985,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e61ae711-e6d2-44e4-b7d7-943a9d06f985,e61ae711-e6d2-44e4-b7d7-943a9d06f985
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA,74993,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20110117,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,REBEL DISTRIBUTORS CORP,1999/01/27-,21695-588,4EVE5946BQ,Ketorolac Tromethamine,Ketorolac,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/31da4540-1589-492c-8be6-382179e8ece2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=31da4540-1589-492c-8be6-382179e8ece2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=31da4540-1589-492c-8be6-382179e8ece2,31da4540-1589-492c-8be6-382179e8ece2
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,OPHTHALMIC,ANDA,78399,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,20100929,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,REBEL DISTRIBUTORS CORP,2009/11/05-,21695-624,4EVE5946BQ,ketorolac tromethamine,ketorolac,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/947e29c2-a270-48e0-ba96-c7ed676db871/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=947e29c2-a270-48e0-ba96-c7ed676db871,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=947e29c2-a270-48e0-ba96-c7ed676db871,947e29c2-a270-48e0-ba96-c7ed676db871
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,74754,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,19980617,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,REDPHARM DRUG INC,1998/06/17-,67296-0511,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/40d145e6-13f7-41ac-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=40d145e6-13f7-41ac-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=40d145e6-13f7-41ac-e054-00144ff8d46c,40d145e6-13f7-41ac-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,74761,KETOTOLAC TROMETHAMINE,KETOTOLAC TROMETHAMINE,20120411,Cyclooxygenase Inhibitor; Nonsteroidal Anti-inflammatory Drug,,STAT RX USA LLC,2010/09/15-,42549-538,4EVE5946BQ,KETOROLAC TROMETHAMINE,KETOROLAC,YZI5105V0L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a41b9710-a1ec-41be-8417-b03c5d802ae2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a41b9710-a1ec-41be-8417-b03c5d802ae2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a41b9710-a1ec-41be-8417-b03c5d802ae2,a41b9710-a1ec-41be-8417-b03c5d802ae2
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,90562,Mefenamic acid,MEFENAMIC ACID,20200117,Nonsteroidal Anti-inflammatory Drug,,MICRO LABS LIMITED,2010/11/19-,42571-258,367589PJ2C,MEFENAMIC ACID,MEFENAMIC ACID,367589PJ2C,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4b0788cd-bdca-4fa5-9eba-01a270613aab/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4b0788cd-bdca-4fa5-9eba-01a270613aab,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4b0788cd-bdca-4fa5-9eba-01a270613aab,4b0788cd-bdca-4fa5-9eba-01a270613aab
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,91608,Mefenamic Acid,MEFENAMIC ACID,20191217,Nonsteroidal Anti-inflammatory Drug,,BELCHER PHARMACEUTICALS LLC,2015/06/25-,62250-677,367589PJ2C,MEFENAMIC ACID,MEFENAMIC ACID,367589PJ2C,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4c275df4-f044-4867-8498-f46d34103bbb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4c275df4-f044-4867-8498-f46d34103bbb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4c275df4-f044-4867-8498-f46d34103bbb,4c275df4-f044-4867-8498-f46d34103bbb
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,91322,Mefenamic Acid,MEFENAMIC ACID,20191127,Nonsteroidal Anti-inflammatory Drug,,LUPIN PHARMACEUTICALS INC,2011/09/06-,68180-185,367589PJ2C,MEFENAMIC ACID,MEFENAMIC ACID,367589PJ2C,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d15733a9-d5fd-4d5f-86ce-e7ed8c706c7f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d15733a9-d5fd-4d5f-86ce-e7ed8c706c7f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d15733a9-d5fd-4d5f-86ce-e7ed8c706c7f,d15733a9-d5fd-4d5f-86ce-e7ed8c706c7f
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77918,Meloxicam,MELOXICAM,20200720,Nonsteroidal Anti-inflammatory Drug,2000,APHENA PHARMA SOLUTIONS TENNESSEE LLC,2010/06/30-,43353-979,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2a29daa9-74e5-4ed6-b5f1-ce04dc411b26/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a29daa9-74e5-4ed6-b5f1-ce04dc411b26,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2a29daa9-74e5-4ed6-b5f1-ce04dc411b26,2a29daa9-74e5-4ed6-b5f1-ce04dc411b26
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77927,meloxicam,MELOXICAM,20200716,Nonsteroidal Anti-inflammatory Drug,2000,PREFERRED PHARMACEUTICALS INC,2013/03/15-; 2014/05/07-,68788-1701; 68788-9418,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ad18a9e9-2fa0-40b0-a438-9146a150ab39/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ad18a9e9-2fa0-40b0-a438-9146a150ab39,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ad18a9e9-2fa0-40b0-a438-9146a150ab39,ad18a9e9-2fa0-40b0-a438-9146a150ab39
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77918,Meloxicam,MELOXICAM,20200713,Nonsteroidal Anti-inflammatory Drug,2000,PD RX PHARMACEUTICALS INC,2010/06/30-,43063-396,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/eae60d2c-411c-460a-b673-05b5784ed943/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=eae60d2c-411c-460a-b673-05b5784ed943,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=eae60d2c-411c-460a-b673-05b5784ed943,eae60d2c-411c-460a-b673-05b5784ed943
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77927,meloxicam,MELOXICAM,20200706,Nonsteroidal Anti-inflammatory Drug,2000,REMEDYREPACK INC,2016/12/01-,70518-0031,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3e8a6283-1e1b-4199-ac73-f42255c7e907/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3e8a6283-1e1b-4199-ac73-f42255c7e907,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3e8a6283-1e1b-4199-ac73-f42255c7e907,3e8a6283-1e1b-4199-ac73-f42255c7e907
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77918,Meloxicam,MELOXICAM,20200601,Nonsteroidal Anti-inflammatory Drug,2000,DENTON PHARMA INC DBA NORTHWIND PHARMACEUTICALS,2017/03/27-,70934-030,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4cfa7cec-81e7-6c0a-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4cfa7cec-81e7-6c0a-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4cfa7cec-81e7-6c0a-e054-00144ff8d46c,4cfa7cec-81e7-6c0a-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77927,meloxicam,MELOXICAM,20200601,Nonsteroidal Anti-inflammatory Drug,2000,PD RX PHARMACEUTICALS INC,2007/03/07-,43063-401,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1d8b617a-b9b3-473c-be9b-f34a585a1b3b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1d8b617a-b9b3-473c-be9b-f34a585a1b3b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1d8b617a-b9b3-473c-be9b-f34a585a1b3b,1d8b617a-b9b3-473c-be9b-f34a585a1b3b
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77918,Meloxicam,MELOXICAM,20200429,Nonsteroidal Anti-inflammatory Drug,2000,PD RX PHARMACEUTICALS INC,2010/06/30-,43063-395,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1ab45be4-b2b9-4374-95ab-620e0f90fb70/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1ab45be4-b2b9-4374-95ab-620e0f90fb70,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1ab45be4-b2b9-4374-95ab-620e0f90fb70,1ab45be4-b2b9-4374-95ab-620e0f90fb70
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77927,meloxicam,MELOXICAM,20200428,Nonsteroidal Anti-inflammatory Drug,2000,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2007/03/07-,35356-808,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0edec862-f3e8-46f6-b6d0-de0bc21dd3fb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0edec862-f3e8-46f6-b6d0-de0bc21dd3fb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0edec862-f3e8-46f6-b6d0-de0bc21dd3fb,0edec862-f3e8-46f6-b6d0-de0bc21dd3fb
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77929,MELOXICAM,MELOXICAM,20200421,Nonsteroidal Anti-inflammatory Drug,2000,REMEDYREPACK INC,2017/02/06-,70518-0200,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cdd282df-572f-42a7-a1c6-a00e1bb4573d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cdd282df-572f-42a7-a1c6-a00e1bb4573d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cdd282df-572f-42a7-a1c6-a00e1bb4573d,cdd282df-572f-42a7-a1c6-a00e1bb4573d
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77929,MELOXICAM,MELOXICAM,20200420,Nonsteroidal Anti-inflammatory Drug,2000,REMEDYREPACK INC,2017/01/23-,70518-0171,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/58556555-ec1f-4977-8c9b-ad77606c3cbb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=58556555-ec1f-4977-8c9b-ad77606c3cbb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=58556555-ec1f-4977-8c9b-ad77606c3cbb,58556555-ec1f-4977-8c9b-ad77606c3cbb
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77927,meloxicam,MELOXICAM,20200217,Nonsteroidal Anti-inflammatory Drug,2000,UNICHEM PHARMACEUTICALS USA INC,2007/03/07-,29300-124; 29300-125,VG2QF83CGL,MELOXICAM,MELOXICAM,VG2QF83CGL,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5fe76337-eae5-4e5c-96ef-6cfa97983c6e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5fe76337-eae5-4e5c-96ef-6cfa97983c6e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5fe76337-eae5-4e5c-96ef-6cfa97983c6e,5fe76337-eae5-4e5c-96ef-6cfa97983c6e
